reference_date,company,name,eps_2026,eps_2027,eps_2028,source
2026-06-01,SAMSUNG,삼성전자,42106,47475,52888,키움증권 2026년 하반기 반도체 산업전망
2026-06-01,SKHYNIX,SK하이닉스,290964,308470,333987,키움증권 2026년 하반기 반도체 산업전망
