date,individual_net_buy_trn,kospi_return_pct,source,generated_at
2026-01-06,0.5963,1.5246,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-01-07,-0.2944,0.5652,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-01-08,1.254,0.0288,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-01-09,0.1339,0.7458,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-01-12,-0.1013,0.8388,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-01-13,-0.7125,1.4671,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-01-14,-0.4377,0.6491,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-01-15,-1.8235,1.5763,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-01-16,-0.9383,0.9003,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-01-19,-0.7513,1.3205,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-01-20,0.3524,-0.3856,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-01-21,-0.9965,0.4949,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-01-22,0.1555,0.8676,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-01-23,-0.7239,0.758,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-01-26,1.7157,-0.8112,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-01-27,-1.0197,2.7328,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-01-28,1.2131,1.6905,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-01-29,1.6173,0.9755,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
